"year","desc","count"
"2009","LOITERING/DEVIATE SEX",13
"2009","LOITERING/GAMBLING (CARDS, DIC",29
"2009","MISCELLANEOUS PENAL LAW",11607
"2009","MURDER & NON-NEGL. MANSLAUGHTER",456
"2009","NEW YORK CITY HEALTH CODE",6
"2009","NYS LAWS-UNCLASSIFIED FELONY",436
"2009","OFF. AGNST PUB ORD SENSBLTY &",30923
"2009","OFFENSES AGAINST MARRIAGE UNCL",1
"2009","OFFENSES AGAINST PUBLIC ADMINI",11189
"2009","OFFENSES AGAINST PUBLIC SAFETY",79
"2009","OFFENSES AGAINST THE PERSON",1127
"2009","OFFENSES INVOLVING FRAUD",2051
"2009","OFFENSES RELATED TO CHILDREN",119
"2009","OTHER OFFENSES RELATED TO THEF",859
"2009","OTHER STATE LAWS",22
"2009","OTHER STATE LAWS (NON PENAL LA",581
"2009","PETIT LARCENY",80649
"2009","PETIT LARCENY OF MOTOR VEHICLE",79
"2009","POSSESSION OF STOLEN PROPERTY",2840
"2009","PROSTITUTION & RELATED OFFENSES",69
"2009","RAPE",1203
"2009","ROBBERY",18594
"2009","SEX CRIMES",5458
"2009","THEFT-FRAUD",5083
"2009","THEFT OF SERVICES",40
"2009","UNAUTHORIZED USE OF A VEHICLE",1171
"2009","UNDER THE INFLUENCE OF DRUGS",1
"2009","UNLAWFUL POSS. WEAP. ON SCHOOL",9
"2009","VEHICLE AND TRAFFIC LAWS",6162
"2010","",2005
"2010","ADMINISTRATIVE CODE",1132
"2010","ADMINISTRATIVE CODES",2
"2010","ALCOHOLIC BEVERAGE CONTROL LAW",86
"2010","ANTICIPATORY OFFENSES",10
"2010","ARSON",1457
"2010","ASSAULT 3 & RELATED OFFENSES",52668
"2010","BURGLAR'S TOOLS",222
"2010","BURGLARY",18705
"2010","CHILD ABANDONMENT/NON SUPPORT",33
"2010","CRIMINAL MISCHIEF & RELATED OF",50964
"2010","CRIMINAL TRESPASS",7728
"2010","DANGEROUS DRUGS",38947
"2010","DANGEROUS WEAPONS",14146
"2010","DISORDERLY CONDUCT",162
"2010","DISRUPTION OF A RELIGIOUS SERV",3
"2010","ENDAN WELFARE INCOMP",10
"2010","ESCAPE 3",15
"2010","FELONY ASSAULT",17133
"2010","FORGERY",4771
"2010","FORTUNE TELLING",3
"2010","FRAUDS",3053
"2010","FRAUDULENT ACCOSTING",312
"2010","GAMBLING",190
"2010","GRAND LARCENY",38081
"2010","GRAND LARCENY OF MOTOR VEHICLE",10293
"2010","HARRASSMENT 2",57338
"2010","HOMICIDE-NEGLIGENT-VEHICLE",12
"2010","HOMICIDE-NEGLIGENT,UNCLASSIFIE",7
"2010","INTOXICATED & IMPAIRED DRIVING",6698
"2010","INTOXICATED/IMPAIRED DRIVING",8
"2010","JOSTLING",19
"2010","KIDNAPPING & RELATED OFFENSES",243
"2010","LOITERING",1
"2010","LOITERING FOR DRUG PURPOSES",2
"2010","LOITERING/GAMBLING (CARDS, DIC",16
"2010","MISCELLANEOUS PENAL LAW",11394
"2010","MURDER & NON-NEGL. MANSLAUGHTER",531
"2010","NEW YORK CITY HEALTH CODE",4
"2010","NYS LAWS-UNCLASSIFIED FELONY",375
"2010","OFF. AGNST PUB ORD SENSBLTY &",30290
"2010","OFFENSES AGAINST PUBLIC ADMINI",11155
"2010","OFFENSES AGAINST PUBLIC SAFETY",110
"2010","OFFENSES AGAINST THE PERSON",1196
